"","시도","시군구","계약년도","이혼율","이동건","병원","스트레스","학원수","교통문화","문화시설","체육시설","재정자립도","지가변동률","토지거래현황","재정자주도","지역범죄안전등급","유아 천명당 보육시설수","혼인율","고령인구비율"
"115","서울특별시","종로구","2017","1.8",1070,21.83,25.2,"1.92","85.61",41.35,275,54.9,"3.28","6769",72,5,14.54,"4.7","16.82"
"116","서울특별시","중구","2016","2.1",-139,13.17,29.8,"1.01","72.37",19.16,411,65.2,"2.23","7555",70.6,5,13.18,"6.6","16.28"
"117","서울특별시","중구","2017","2.1",491,12.47,26.2,"1.02","81.88",19.09,411,62.4,"3.24","6573",67.8,5,13.4,"6.5","16.82"
"118","서울특별시","중구","2018","2.1",501,12.47,26.2,"0.95","70.17",19.09,411,63.3,"5.33","7058",71.1,5,14.74,"6.4","17.30"
"119","서울특별시","중랑구","2016","2.3",-1761,8.06,33.1,"0.74","90.76",0.97,518,23.3,"2.74","12249",51,4,14.41,"6.4","13.59"
"120","서울특별시","중랑구","2017","2.4",-1518,7.41,31.8,"0.71","84.47",0.98,518,23.2,"3.73","11452",51.8,4,14.73,"5.7","14.50"
"121","서울특별시","중랑구","2018","2.3",-1782,7.41,31.8,"0.68","72.01",0.98,518,23.3,"4.50","10825",50.6,4,15.53,"5.6","15.31"
"122","인천광역시","강화군","2017","2",631,13.28,24.9,"0.71","77.73",16,184,16.2,"2.80","11511",58.3,4,10.14,"3.4","29.75"
"123","인천광역시","강화군","2018","2",339,13.28,24.9,"0.71","74.25",16,184,17.3,"3.73","12215",57.9,4,10.38,"3","30.70"
"124","인천광역시","남동구","2016","2.4",-748,12.22,31.8,"1.22","85.76",1.88,777,33.1,"1.86","22846",42.9,3,12.67,"5.8","10.16"
"125","인천광역시","남동구","2017","2.6",1756,12.78,29.4,"1.29","86.4",1.86,777,33.7,"3.29","27106",46.7,3,13.11,"5.3","10.89"
"126","인천광역시","남동구","2018","2.4",573,12.78,29.4,"1.35","74.14",1.86,777,33.3,"3.88","22221",43.6,3,14.11,"5","11.59"
"130","인천광역시","서구","2016","2.5",1448,10.41,29.1,"1.22","83.68",2.15,727,40.6,"2.07","24156",45.5,1,13.92,"5.7","8.36"
"131","인천광역시","서구","2017","2.4",1831,10.44,25,"1.32","85.3",2.33,727,40.6,"3.34","32444",45.9,1,14.59,"5.2","8.94"
"132","인천광역시","서구","2018","2.6",9653,10.44,25,"1.35","73.03",2.33,727,40.4,"3.85","32283",45.4,2,14.85,"5.6","9.28"
"133","인천광역시","연수구","2016","1.9",3653,5.26,28,"1.56","83.64",3.35,344,41.5,"1.80","20158",49.5,1,13.41,"5.1","8.18"
"134","인천광역시","연수구","2017","1.7",1716,5.23,24.9,"1.69","87.39",3.28,344,44.5,"3.18","32943",52.3,2,13.57,"4.7","8.63"
"135","인천광역시","연수구","2018","1.8",3720,5.23,24.9,"1.78","76.49",3.28,344,45.5,"3.89","25786",52.8,1,13.67,"4.6","9.02"
"136","인천광역시","옹진군","2017","2.6",231,3.06,24.7,"0.19","60.76",9.27,64,17.7,"1.95","2752",61.8,2,16.13,"5.6","22.42"
