LinkID,평균시간,거리,시/도,시/군,유출인구,정류장수,,LinkID,평균속도시간,거리,시/도,시/군,유입인구,,가평군,880
1011802,0.026057505,0.531,경기도,시흥시,89081,960,,1014818,0.0029076,0.126,서울특별시,강서구,108882,,,
1011803,0.024570853,0.432,경기도,시흥시,89081,960,,1014819,0.004969567,0.126,서울특별시,강서구,108882,,,
1011804,0.009596024,0.358,경기도,시흥시,89081,960,,1014820,0.016203654,0.504,서울특별시,강서구,108882,,,
1011805,0.019831228,0.358,경기도,시흥시,89081,960,,1014821,0.018436659,0.504,서울특별시,강서구,108882,,,
1011806,0.002119284,0.099,경기도,시흥시,89081,960,,1014822,0.007377402,0.241,서울특별시,강서구,108882,,,
1011807,0.016343747,0.491,경기도,시흥시,89081,960,,1014823,0.005810762,0.158,서울특별시,강서구,108882,,,
1011808,0.02004247,0.505,경기도,시흥시,89081,960,,1014824,0.003659738,0.158,서울특별시,강서구,108882,,,
1011809,0.016711317,0.527,경기도,시흥시,89081,960,,1014825,0.014739482,0.467,서울특별시,강서구,108882,,,
1011810,0.017757105,0.576,경기도,시흥시,89081,960,,1014826,0.020636722,0.637,서울특별시,강서구,108882,,,
1011811,0.013184617,0.627,경기도,시흥시,89081,960,,1014827,0.025547101,0.637,서울특별시,강서구,108882,,,
1011812,0.014693377,0.474,경기도,시흥시,89081,960,,1014828,0.025951528,2.172,서울특별시,강서구,108882,,,
1011813,0.014663607,0.55,경기도,시흥시,89081,960,,1014829,0.011676107,0.579,서울특별시,강서구,108882,,,
1011814,0.019655383,0.55,경기도,시흥시,89081,960,,1014830,0.005391233,0.21,서울특별시,강서구,108882,,,
1011815,0.012359778,0.486,경기도,시흥시,89081,960,,1014831,0.004169151,0.139,서울특별시,강서구,108882,,,
1011816,0.02449842,0.5,경기도,시흥시,89081,960,,1014832,0.003573614,0.139,서울특별시,강서구,108882,,,
1011817,0.011327385,0.64,경기도,시흥시,89081,960,,1014833,0.004399375,0.084,서울특별시,강서구,108882,,,
1011818,0.019279805,0.638,경기도,시흥시,89081,960,,1014834,0.000759027,0.022,서울특별시,강서구,108882,,,
1011819,0.013806314,0.556,경기도,시흥시,89081,960,,1014835,0.055531827,1.179,서울특별시,강서구,108882,,,
1011820,0.017414731,0.556,경기도,시흥시,89081,960,,1014836,0.017919105,0.285,서울특별시,강서구,108882,,,
1011821,0.016978589,0.589,경기도,시흥시,89081,960,,1014837,0.009482163,0.285,서울특별시,강서구,108882,,,
1011822,0.019029555,0.58,경기도,안산시,125392,1153,,1014838,0.009548611,0.389,서울특별시,강서구,108882,,,
1011823,0.017119425,0.556,경기도,시흥시,89081,960,,1014839,0.004604271,0.21,서울특별시,강서구,108882,,,
1011824,0.01755172,0.556,경기도,시흥시,89081,960,,1014840,,0.278,서울특별시,강서구,108882,,,
1011825,0.018096102,0.69,경기도,안산시,125392,1153,,1014841,0.000765282,0.026,서울특별시,강서구,108882,,,
1011826,0.014784135,0.592,경기도,시흥시,89081,960,,1014842,0.001311937,0.045,서울특별시,강서구,108882,,,
1011827,0.027400514,1.345,경기도,안산시,125392,1153,,1014843,0.018795333,0.675,서울특별시,강서구,108882,,,
1011828,0.025151046,0.621,경기도,안산시,125392,1153,,1014844,0.001388018,0.038,서울특별시,강서구,108882,,,
1011829,0.007763167,0.305,경기도,안산시,125392,1153,,1014845,0.008174305,0.279,서울특별시,강서구,108882,,,
1011830,0.036024494,0.575,경기도,안산시,125392,1153,,1014846,0.011351483,0.279,서울특별시,강서구,108882,,,
1011831,0.034378582,0.592,경기도,시흥시,89081,960,,1014847,0.008284232,0.217,서울특별시,강서구,108882,,,
1011832,0.020065721,0.581,경기도,안산시,125392,1153,,1014848,0.008072132,0.407,서울특별시,강서구,108882,,,
1011833,0.000458621,0.043,경기도,시흥시,89081,960,,1014849,0.014794056,0.407,서울특별시,강서구,108882,,,
