start,end,총시간,총거리,유출인구,정류장수,평균버스,평균승용차,평균트럭,평균교통량,버스비율,승용차비율,트럭비율,1인가구수,면적당지하철,광역버스,출근급행,총광역급행,광역비율,급행비율,남경제,남비경제,여경제,여비경제,평균속도
1085364,1017835,0.847748092,58.456,54090,1782,925.5,59774.5,17346,78046,0.011858391,0.765888066,0.222253543,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,68.95444596
1085382,1070545,1.23787322,68.818,54090,1782,1472,103312,23297,128081,0.011492727,0.806614564,0.181892709,47126,0.011001826,0,0,0,0,0,0.373951923,0.138768507,0.292737978,0.194541593,55.59373843
1085428,1070701,0.919924004,53.316,106864,2632,1071,76300.5,22699,100070.5,0.010702455,0.76246746,0.226830085,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,57.95696141
1085463,1070906,1.374060123,65.296,106864,2632,1606.5,114589,22566.5,138762,0.011577377,0.825795247,0.162627376,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,47.52048248
1085469,1017854,0.76120574,48.914,106864,2632,877,60560.5,17680,79117.5,0.011084779,0.765450122,0.223465099,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,64.25858008
1085471,1070797,0.955739424,53.625,106864,2632,935.5,73566,20348,94849.5,0.009862993,0.775607673,0.214529333,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,56.10838964
1085554,1017789,1.198041626,56.392,106864,2632,3970.5,154884.5,28460.5,187315.5,0.021196858,0.826864301,0.151938841,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,47.0701508
1085561,1038223,0.905994368,40.479,106864,2632,278.5,76952,6594,83824.5,0.003322418,0.91801323,0.078664352,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,44.67908569
1085611,1098180,0.682434244,44.424,106864,2632,2971.5,74722,20659,98352.5,0.030212755,0.759736661,0.210050583,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,65.09638165
1085655,1100632,0.801325205,43.205,106864,2632,5940.5,106411,23137.5,135489,0.043844888,0.785384791,0.170770321,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,53.91693626
1085655,1041123,0.639725735,38.332,106864,2632,2890,67873.5,17248.5,88012,0.032836431,0.771184611,0.195978957,52899,0,6,4,10,0.6,0.4,0.365464186,0.152036207,0.291707617,0.190791991,59.91942782
