경락가격정보서비스,1024,203,농림수산식품교육문화정보원,교통물류,https://www.data.go.kr/dataset/15000355/openapi.do
조달청_누리장터 관련정보,1024,29,조달청,중점데이터,https://www.data.go.kr/dataset/15006470/openapi.do
국방 데이터베이스 코드설계 표준,1006,77,국방부,통일외교안보,https://www.data.go.kr/dataset/3034719/openapi.do
고속도로 교통지표 현황,995,53,한국도로공사,교통물류,https://www.data.go.kr/dataset/15011998/openapi.do
한국시설안전공단_시설물안전관리현황,992,13,한국시설안전공단,재난안전,https://www.data.go.kr/dataset/3070149/openapi.do
예술지식 축제문화정보 서비스,991,135,한국문화정보원,문화관광,https://www.data.go.kr/dataset/15000716/openapi.do
조달청_물품목록정보,985,116,조달청,중점데이터,https://www.data.go.kr/dataset/15000650/openapi.do
승강기 검사정보,974,71,행정안전부,재난안전,https://www.data.go.kr/dataset/3033836/openapi.do
[인천공항] 운항정보,968,613,인천국제공항공사,교통물류,https://www.data.go.kr/dataset/15001007/openapi.do
전국 응급의료기관 조회 서비스,968,169,국립중앙의료원,보건의료,https://www.data.go.kr/dataset/15000563/openapi.do
한국동서발전 연료 도입 현황,966,17,한국동서발전(주),산업고용,https://www.data.go.kr/dataset/3071443/openapi.do
우유 및 유제품 생산소비현황,962,152,농림축산식품부,농축수산,https://www.data.go.kr/dataset/3034938/openapi.do
광주광역시 광주보건환경연구원 대기측정망 운영,959,19,광주광역시,환경기상,https://www.data.go.kr/dataset/3076137/openapi.do
문화재청 지역별 문화재 정보,955,272,문화재청,문화관광,https://www.data.go.kr/dataset/15000402/openapi.do
사건사고 현황,951,236,외교부,문화관광,https://www.data.go.kr/dataset/15000654/openapi.do
한국환경공단_오존황사 발생정보조회 서비스,948,498,한국환경공단,환경기상,https://www.data.go.kr/dataset/15000661/openapi.do
의료기관 현황,937,67,부산광역시,보건의료,https://www.data.go.kr/dataset/3076769/openapi.do
국가별 기본정보,937,274,외교부,문화관광,https://www.data.go.kr/dataset/15000830/openapi.do
위험물 정보,933,35,소방청,재난안전,https://www.data.go.kr/dataset/3059153/openapi.do
대기질 실시간 측정자료,932,298,부산광역시,환경기상,https://www.data.go.kr/dataset/3056200/openapi.do
고속버스정보 서비스,931,582,국토교통부,국토관리,https://www.data.go.kr/dataset/15000501/openapi.do
복지서비스정보,929,90,사회보장정보원,사회복지,https://www.data.go.kr/dataset/3072506/openapi.do
관광통계,902,29,제주특별자치도 서귀포시,문화관광,https://www.data.go.kr/dataset/3044586/openapi.do
대구광역시 음식점현황,899,490,대구광역시,보건의료,https://www.data.go.kr/dataset/3056779/openapi.do
우리나라 무역수지 및 수출입통계,894,114,관세청,중점데이터,https://www.data.go.kr/dataset/15001939/openapi.do
농산물이력관리정보조회서비스,893,130,농림축산식품부 국립농산물품질관리원,교통물류,https://www.data.go.kr/dataset/15000761/openapi.do
CCTV위치도,893,1665,국토교통부,재난안전,https://www.data.go.kr/dataset/3068943/openapi.do
국립농산물품질관리원 친환경인증정보,889,169,농림축산식품부 국립농산물품질관리원,농축수산,https://www.data.go.kr/dataset/15000935/openapi.do
이중섭미술관 이중섭작품,885,58,제주특별자치도 서귀포시,문화관광,https://www.data.go.kr/dataset/15000930/openapi.do
커리어넷 진로직업정보,872,318,한국직업능력개발원,교육,https://www.data.go.kr/dataset/3070288/openapi.do
위탁병원 현황 DB,869,45,한국보훈복지의료공단,보건의료,https://www.data.go.kr/dataset/3075427/openapi.do
부동산 가격정보,865,763,국토교통부,중점데이터,https://www.data.go.kr/dataset/3050651/openapi.do
부산 문화/공연/전시 정보서비스,855,68,부산광역시,문화관광,https://www.data.go.kr/dataset/15001886/openapi.do
국방부 PX 인기상품 정보,851,247,국방부,통일외교안보,https://www.data.go.kr/dataset/15013067/openapi.do
공영주차장 운영현황,850,103,부산광역시,공공행정,https://www.data.go.kr/dataset/3075947/openapi.do
한국시설안전공단 공공시설물 안전관리 정보,847,9,한국시설안전공단,중점데이터,https://www.data.go.kr/dataset/15012876/openapi.do
[인천공항] 항공정보,844,244,인천국제공항공사,교통물류,https://www.data.go.kr/dataset/3068696/openapi.do
농수축산물 안심레시피 정보,843,1549,농림수산식품교육문화정보원,식품건강,https://www.data.go.kr/dataset/15000158/openapi.do
국가 대기오염물질 배출량 통계,843,83,환경부 국립환경과학원,환경기상,https://www.data.go.kr/dataset/15000938/openapi.do
무더위쉼터현황,838,36,행정안전부,재난안전,https://www.data.go.kr/dataset/3038743/openapi.do
한국환경공단_측정소정보 조회 서비스,836,1638,한국환경공단,환경기상,https://www.data.go.kr/dataset/15000660/openapi.do
연도별 재정지표,835,450,기획재정부,재정금융,https://www.data.go.kr/dataset/3073767/openapi.do
사회서비스 제공기관 정보,835,128,사회보장정보원,사회복지,https://www.data.go.kr/dataset/3075166/openapi.do
국토교통부_열차정보,835,700,국토교통부,교통물류,https://www.data.go.kr/dataset/15000500/openapi.do
대전광역시 스토리대전,833,32,대전광역시,공공행정,https://www.data.go.kr/dataset/15001034/openapi.do
한국산업표준 현황,832,79,산업통상자원부,산업고용,https://www.data.go.kr/dataset/3069855/openapi.do
한국시설안전공단 안전진단전문기관 정보,828,3,한국시설안전공단,중점데이터,https://www.data.go.kr/dataset/3069985/openapi.do
연도별 세출/지출 예산현황,826,130,기획재정부,중점데이터,https://www.data.go.kr/dataset/3073756/openapi.do
업체 및 공장등록 현황,824,24,경기도 성남시,산업고용,https://www.data.go.kr/dataset/3076786/openapi.do
부산광역시 남구 사회복지시설 현황,822,48,부산광역시 남구,사회복지,https://www.data.go.kr/dataset/3075067/openapi.do
군 표준 도면 정보,817,79,국방부,통일외교안보,https://www.data.go.kr/dataset/3081230/openapi.do
