통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
H_SDNG_CD,H_DNG_CD,DO_NM,CT_NM,H_DNG_NM
1125056,11740560,서울,강동구,고덕2동
1125058,11740580,서울,강동구,암사2동
1125059,11740590,서울,강동구,암사3동
1125061,11740600,서울,강동구,천호1동
1125063,11740620,서울,강동구,천호3동
1125065,11740640,서울,강동구,성내1동
1125066,11740650,서울,강동구,성내2동
1125067,11740660,서울,강동구,성내3동
1125070,11740690,서울,강동구,둔촌1동
1125071,11740700,서울,강동구,둔촌2동
1125072,11740570,서울,강동구,암사1동
1125073,11740610,서울,강동구,천호2동
1125074,11740685,서울,강동구,길동
