dong,news,inout,age,person_num,total_comp
논현1동,0,0.278637206,2,32903,36952
논현1동,0,0.265191184,2,32848,36161
논현1동,0,0.275466152,2,32661,38231
논현1동,0.5,0.287517836,2,32238,38775
논현2동,20,0.336732015,0,22852,7913
논현2동,89,0.31382442,0,22793,6648
논현2동,83,0.319321045,0,22623,6905
논현2동,70,0.341078317,4,22294,7901
논현2동,10,0.226984324,4,16076,10279
논현2동,45,0.359498433,4,15950,10862
논현2동,43.5,0.298516484,2,18200,11342
논현2동,40.5,0.370779114,2,18213,17613
능동,30,0.265177466,0,34739,6761
능동,20,0.272230416,0,34581,5201
능동,17,0.279326331,0,34082,6081
능동,22,0.275387111,0,33905,6428
능동,9,0.316028784,3,25292,6044
능동,11,0.326563269,4,24372,6580
능동,5,0.336138305,4,24005,6533
능동,17,0.343316533,4,24007,6249
다산동,17,0.358947957,2,33991,9872
다산동,18,0.379314376,2,34217,9227
다산동,20,0.332507289,2,34300,9097
다산동,60,0.427664663,2,32612,9696
다산동,17,0.29868771,0,22937,1990
다산동,18,0.355084126,0,20505,2223
다산동,20,0.247158668,0,20149,2246
다산동,60,0.265014299,0,19931,2885
답십리1동,9,0.278519244,0,24501,5766
답십리1동,16,0.279842481,0,24378,5949
답십리1동,8,0.263222835,0,24314,6528
답십리1동,49,0.358345296,0,22989,7474
답십리1동,17,0.300203705,0,21109,28714
답십리1동,18,0.298981944,0,20824,29186
답십리1동,20,0.286649152,0,20935,27920
답십리1동,60,0.324344999,0,20916,34309
답십리2동,17,0.280556988,0,13573,2296
답십리2동,18,0.311767325,0,13478,2280
답십리2동,20,0.272089552,0,13400,2312
답십리2동,60,0.275486613,0,13409,2668
답십리2동,4.5,0.285667087,0,33294,10463
답십리2동,4,0.270826409,0,33095,10930
답십리2동,1.5,0.51359735,0,33205,11101
답십리2동,3,0.269183892,0,40203,11795
당산1동,44,0.372917755,2,17229,14976
당산1동,24,0.374246512,2,17419,13769
당산1동,44,0.383017472,2,17571,12716
당산1동,31,0.395362088,2,17551,15680
당산1동,44,0.340432398,0,27891,16233
당산1동,24,0.356245034,0,27686,14947
당산1동,44,0.379699248,0,28728,17830
당산1동,31,0.333263976,2,28836,19515
당산2동,44,0.303892444,0,26256,10357
당산2동,24,0.290074863,0,25914,10484
당산2동,44,0.286667714,4,25472,11263
당산2동,31,0.322621498,4,25268,13939
당산2동,44,0.359679267,0,26190,15252
당산2동,24,0.368281328,0,25991,13140
당산2동,44,0.367541034,0,26076,14451
당산2동,31,0.381022727,0,26400,14575
